 Date,Time,Message
2026-09-08,11:39:44 GMT,Welcome back! Your messages have been restored. You are using your Demo account.
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 14.81481481501443 | SMA2= 9713.45 | SMA3= 9713.226666666667 | Points= 0.040000000000873115 | Strength= 560 | Points2= 0.19000000000050932 | Strength2= 560 | Tick1= 9713.66 Tick2= 9713.85 Tick3= 9713.81 Tick4= 9714.04 Extra= 9714.04 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 53.99999999989086 | SMA2= 9713.43 | SMA3= 9713.213333333333 | Points= 0.23000000000138243 | Strength= 560 | Points2= 0.040000000000873115 | Strength2= 560 | Tick1= 9713.85 Tick2= 9713.81 Tick3= 9714.04 Tick4= 9713.77 Extra= 9713.77 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 1 | Score= 100 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 69.23076923098449 | SMA2= 9713.545 | SMA3= 9713.29 | Points= 0.27000000000043656 | Strength= 560 | Points2= 0.23000000000138243 | Strength2= 560 | Tick1= 9713.81 Tick2= 9714.04 Tick3= 9713.77 Tick4= 9713.89 Extra= 9713.89 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 60 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9713.41 | SMA3= 9713.2 | Points= 0.11999999999898137 | Strength= 560 | Points2= 0.27000000000043656 | Strength2= 560 | Tick1= 9714.04 Tick2= 9713.77 Tick3= 9713.89 Tick4= 9713.9 Extra= 9713.9 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9713.47 | SMA3= 9713.24 | Points= 0.010000000000218279 | Strength= 560 | Points2= 0.11999999999898137 | Strength2= 560 | Tick1= 9713.77 Tick2= 9713.89 Tick3= 9713.9 Tick4= 9714.37 Extra= 9714.37 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9713.474999999999 | SMA3= 9713.243333333334 | Points= 0.47000000000116415 | Strength= 560 | Points2= 0.010000000000218279 | Strength2= 560 | Tick1= 9713.89 Tick2= 9713.9 Tick3= 9714.37 Tick4= 9714.49 Extra= 9714.49 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9713.71 | SMA3= 9713.400000000001 | Points= 0.11999999999898137 | Strength= 560 | Points2= 0.47000000000116415 | Strength2= 560 | Tick1= 9713.9 Tick2= 9714.37 Tick3= 9714.49 Tick4= 9714.56 Extra= 9714.56 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 77.41935483876645 | SMA2= 9713.77 | SMA3= 9713.44 | Points= 0.06999999999970896 | Strength= 560 | Points2= 0.11999999999898137 | Strength2= 560 | Tick1= 9714.37 Tick2= 9714.49 Tick3= 9714.56 Tick4= 9714.32 Extra= 9714.32 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9713.805 | SMA3= 9713.463333333333 | Points= 0.23999999999978172 | Strength= 560 | Points2= 0.06999999999970896 | Strength2= 560 | Tick1= 9714.49 Tick2= 9714.56 Tick3= 9714.32 Tick4= 9714 Extra= 9714 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 2 | RSI= 100 | SMA2= 9713.685 | SMA3= 9713.383333333333 | Points= 0.31999999999970896 | Strength= 560 | Points2= 0.23999999999978172 | Strength2= 560 | Tick1= 9714.56 Tick2= 9714.32 Tick3= 9714 Tick4= 9713.78 Extra= 9713.78 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 2 | RSI= 100 | SMA2= 9713.525 | SMA3= 9713.276666666667 | Points= 0.21999999999934516 | Strength= 560 | Points2= 0.31999999999970896 | Strength2= 560 | Tick1= 9714.32 Tick2= 9714 Tick3= 9713.78 Tick4= 9713.36 Extra= 9713.36 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 30 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
