 Date,Time,Message
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 6 1 12 0.25 0.057142857142857134 -0.25 -0.13333333333333333 -0.4 -0.1 -0.55 7 1 0 0 1 1 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 4 0 8 0.25 0 -0.25 0 -0.4 -0.1 0.25 6 2 0 0 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 3 0 8 0.30000000000000004 0 -0.3 0 -0.45 -0.1 0.25 6 2 0 0 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 6 1 12 0.1499999999999999 0.028571428571428567 -0.15000000000000002 -0.06666666666666667 -0.45 -0.1 0 6 2 0 0 1 1 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 6 0 8 0.1499999999999999 -0.028571428571428567 -0.15000000000000002 0.06666666666666667 0.35000000000000003 -0.1 0 6 2 0 0 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 9 0 8 0.1499999999999999 -0.028571428571428567 -0.15000000000000002 0.06666666666666667 0.35000000000000003 -0.1 0 5 3 0 0 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 6 1 11 0.09999999999999998 0.028571428571428567 -0.10000000000000003 -0.06666666666666667 0.35000000000000003 -0.35000000000000003 -0.5 6 2 0 0 1 1 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 0 1 11 0.09999999999999998 0.028571428571428567 -0.10000000000000003 -0.06666666666666667 0.35000000000000003 -0.35000000000000003 -0.5 6 2 0 0 1 1 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 7 0 7 0.09999999999999998 -0.028571428571428567 -0.10000000000000003 0.06666666666666667 0.35000000000000003 -0.35000000000000003 0.30000000000000004 5 3 1 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 6 0 8 0.20000000000000007 0 -0.2 0 -0.15 -0.35000000000000003 0.30000000000000004 6 2 1 0 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 2 1 11 0.09999999999999998 0.028571428571428567 -0.10000000000000003 -0.06666666666666667 -0.15 -0.4 0.05000000000000002 6 2 1 0 1 1 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 4 0 7 0.09999999999999998 -0.028571428571428567 -0.10000000000000003 0.06666666666666667 -0.15 0.4 0.05000000000000002 6 2 1 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 9 0 5 -0.050000000000000044 0 0.050000000000000044 0 -0.15 0.15000000000000002 0.05000000000000002 5 3 1 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 5 0 9 -0.050000000000000044 0.05714285714285714 0.050000000000000044 -0.13333333333333336 -0.2 0.15000000000000002 -0.7000000000000001 6 2 1 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 2 0 8 -0.15000000000000002 0.08571428571428572 0.15000000000000002 -0.2 -0.2 0.15000000000000002 -1 5 3 2 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 8 0 5 -0.29999999999999993 0.05714285714285715 0.3 -0.13333333333333333 -0.45 0.15000000000000002 -0.20000000000000004 4 4 2 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 4 0 7 -0.35 0.11428571428571428 0.35 -0.26666666666666666 -0.7000000000000001 -0.35000000000000003 -0.20000000000000004 4 4 1 0 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 3 0 6 -0.35 0.05714285714285715 0.35 -0.13333333333333333 -0.7000000000000001 0.45 -0.20000000000000004 3 5 1 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 5 0 5 -0.5 0.02857142857142857 0.49999999999999994 -0.06666666666666665 -0.7000000000000001 0.45 0.35000000000000003 2 6 1 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 9 0 2 -0.5 -0.02857142857142857 0.49999999999999994 0.06666666666666665 -0.7000000000000001 0.45 1.15 2 6 1 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 0 0 1 -0.4 -0.05714285714285715 0.39999999999999997 0.13333333333333333 0.1 0.45 0.65 2 6 1 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 8 0 1 -0.35 -0.11428571428571428 0.35 0.26666666666666666 0.9 0.4 0.65 2 6 1 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 9 0 2 -0.35 -0.05714285714285715 0.35 0.13333333333333333 0.65 -0.15 0.65 3 5 0 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 9 0 3 -0.25 -0.08571428571428572 0.25 0.2 0.65 -0.15 0.9500000000000001 4 4 0 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 7 0 3 -0.15000000000000002 -0.05714285714285714 0.15000000000000002 0.13333333333333336 0.65 -0.15 0.45 4 4 0 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 7 0 5 0 -0.028571428571428567 0 0.06666666666666667 0.1 -0.15 0.45 5 3 0 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 4 0 8 0.10000000000000009 0 -0.09999999999999998 0 -0.4 -0.15 0.45 6 2 0 0 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 9 0 7 0.10000000000000009 -0.057142857142857134 -0.09999999999999998 0.13333333333333333 0.4 -0.15 0.45 6 2 0 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 0 0 8 0.25 -0.028571428571428567 -0.24999999999999997 0.06666666666666667 0.4 -0.2 -0.05 7 1 0 0 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-08,12:21:01 GMT,V7.3 DIAG | 4 0 8 0.25 -0.028571428571428567 -0.24999999999999997 0.06666666666666667 0.4 -0.2 -0.05 7 1 0 0 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,V7.3 DIAG | 6 0 8 0.10000000000000009 0 -0.09999999999999998 0 0.4 -0.45 -0.05 7 1 0 0 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,V7.3 DIAG | 8 0 8 0.20000000000000007 -0.028571428571428567 -0.19999999999999998 0.06666666666666667 -0.15 0.4 -0.05 7 1 1 1 0 0 0 1 0 7
2026-09-08,12:21:01 GMT,Welcome back! Your messages have been restored. You are using your Demo account.
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.06000000000130967 | Strength= 560 | Points2= 0.09999999999854481 | Strength2= 560 | Tick1= 9713.14 Tick2= 9713.04 Tick3= 9712.98 Tick4= 9712.9 Extra= 9712.9 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 3 | Score= 0 | Reconfirm= 0 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.07999999999992724 | Strength= 560 | Points2= 0.06000000000130967 | Strength2= 560 | Tick1= 9713.04 Tick2= 9712.98 Tick3= 9712.9 Tick4= 9712.87 Extra= 9712.87 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 0 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.029999999998835847 | Strength= 560 | Points2= 0.07999999999992724 | Strength2= 560 | Tick1= 9712.98 Tick2= 9712.9 Tick3= 9712.87 Tick4= 9712.69 Extra= 9712.69 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 3 | Score= 0 | Reconfirm= 0 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 90.00000000063665 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.18000000000029104 | Strength= 560 | Points2= 0.029999999998835847 | Strength2= 560 | Tick1= 9712.9 Tick2= 9712.87 Tick3= 9712.69 Tick4= 9712.71 Extra= 9712.71 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 1 | Score= 70 | Reconfirm= 0 | Guard= false | Reason= BLOCK: RECONFIRM
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.019999999998617568 | Strength= 560 | Points2= 0.18000000000029104 | Strength2= 560 | Tick1= 9712.87 Tick2= 9712.69 Tick3= 9712.71 Tick4= 9712.82 Extra= 9712.82 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 3 | Score= 0 | Reconfirm= 0 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 8.333333333459663 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.11000000000058208 | Strength= 560 | Points2= 0.019999999998617568 | Strength2= 560 | Tick1= 9712.69 Tick2= 9712.71 Tick3= 9712.82 Tick4= 9712.81 Extra= 9712.81 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 0 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 20 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.010000000000218279 | Strength= 560 | Points2= 0.11000000000058208 | Strength2= 560 | Tick1= 9712.71 Tick2= 9712.82 Tick3= 9712.81 Tick4= 9712.85 Extra= 9712.85 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 3 | Score= 0 | Reconfirm= 0 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.040000000000873115 | Strength= 560 | Points2= 0.010000000000218279 | Strength2= 560 | Tick1= 9712.82 Tick2= 9712.81 Tick3= 9712.85 Tick4= 9712.96 Extra= 9712.96 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 0 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 57.69230769252296 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.10999999999876309 | Strength= 560 | Points2= 0.040000000000873115 | Strength2= 560 | Tick1= 9712.81 Tick2= 9712.85 Tick3= 9712.96 Tick4= 9712.81 Extra= 9712.81 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 2 | Score= 30 | Reconfirm= 0 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 53.57142857117336 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.1499999999996362 | Strength= 560 | Points2= 0.10999999999876309 | Strength2= 560 | Tick1= 9712.85 Tick2= 9712.96 Tick3= 9712.81 Tick4= 9712.94 Extra= 9712.94 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 2 | Score= 50 | Reconfirm= 0 | Guard= false | Reason= BLOCK: RECONFIRM
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.13000000000101863 | Strength= 560 | Points2= 0.1499999999996362 | Strength2= 560 | Tick1= 9712.96 Tick2= 9712.81 Tick3= 9712.94 Tick4= 9713.01 Extra= 9713.01 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 2 | Score= 20 | Reconfirm= 0 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.06999999999970896 | Strength= 560 | Points2= 0.13000000000101863 | Strength2= 560 | Tick1= 9712.81 Tick2= 9712.94 Tick3= 9713.01 Tick4= 9713.12 Extra= 9713.12 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 3 | Score= 0 | Reconfirm= 0 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,11:49:32 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9717.065 | SMA3= 9717.013333333334 | Points= 0.11000000000058208 | Strength= 560 | Points2= 0.06999999999970896 | Strength2= 560 | Tick1= 9712.94 Tick2= 9713.01 Tick3= 9713.12 Tick4= 9713.34 Extra= 9713.34 | LossLevel= 1 | LossCount= 1 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 0 | Guard= false | Reason= BLOCK: QUALITY
